t,x,y,z,yaw
2.2660,-0.023610,-0.011909,0.120981,-37.7211
2.2820,-0.023618,-0.011888,0.121471,-37.7482
2.3130,-0.023728,-0.012563,0.120676,-37.7267
2.3290,-0.023846,-0.012336,0.118775,-37.6963
2.3440,-0.023531,-0.011863,0.119627,-37.7222
2.3750,-0.023589,-0.012012,0.119643,-37.7232
2.3910,-0.023649,-0.012162,0.119662,-37.7207
2.4070,-0.023708,-0.012318,0.119686,-37.7197
2.4220,-0.023956,-0.013527,0.118175,-37.7012
2.4540,-0.024037,-0.013824,0.118009,-37.7005
2.4690,-0.024122,-0.014127,0.117846,-37.7017
2.4850,-0.023486,-0.011663,0.119201,-37.7229
2.5160,-0.023256,-0.011281,0.119735,-37.7549
2.5320,-0.023766,-0.012227,0.119677,-37.7325
2.5470,-0.023582,-0.011823,0.120285,-37.7583
2.5630,-0.022925,-0.010995,0.119630,-37.7601
2.5940,-0.022887,-0.010895,0.119702,-37.7585
2.6100,-0.022407,-0.010318,0.118931,-37.7420
2.6250,-0.023205,-0.011815,0.119311,-37.7361
2.6570,-0.023082,-0.011293,0.119731,-37.7694
2.6720,-0.023062,-0.011232,0.119785,-37.7695
2.6880,-0.023568,-0.012500,0.119204,-37.7428
2.7040,-0.023587,-0.012584,0.119135,-37.7445
2.7350,-0.023681,-0.011898,0.118044,-37.7231
2.7500,-0.023712,-0.011518,0.117261,-37.7146
2.7660,-0.023742,-0.011480,0.117021,-37.7127
2.7820,-0.024813,-0.012705,0.115893,-37.6826
2.8130,-0.023887,-0.012580,0.118082,-37.6990
2.8290,-0.023246,-0.011221,0.118566,-37.7079
2.8440,-0.022852,-0.010872,0.118939,-37.7376
2.8750,-0.022534,-0.010525,0.118551,-37.7169
2.8910,-0.022301,-0.010302,0.118749,-37.7452
2.9070,-0.022202,-0.010206,0.118813,-37.7463
2.9220,-0.022099,-0.010107,0.118884,-37.7453
2.9540,-0.021989,-0.010004,0.118957,-37.7461
2.9690,-0.021871,-0.009896,0.119032,-37.7461
2.9850,-0.023354,-0.012005,0.117795,-37.7092
3.0160,-0.022763,-0.010899,0.118425,-37.7311
3.0320,-0.022746,-0.010930,0.118418,-37.7301
3.0470,-0.022729,-0.010960,0.118412,-37.7302
3.0790,-0.022716,-0.010993,0.118408,-37.7295
3.0940,-0.022701,-0.011026,0.118408,-37.7301
3.1100,-0.022683,-0.011057,0.118411,-37.7300
3.1250,-0.023743,-0.013201,0.117294,-37.7087
3.1570,-0.024521,-0.012532,0.116419,-37.6945
3.1720,-0.023766,-0.012363,0.117873,-37.6874
3.1880,-0.023744,-0.012388,0.118204,-37.6852
3.2040,-0.023811,-0.012455,0.118224,-37.6837
3.2350,-0.024001,-0.013223,0.117597,-37.6673
3.2500,-0.024107,-0.013826,0.116932,-37.6479
3.2660,-0.024198,-0.014006,0.116765,-37.6479
3.2820,-0.024289,-0.014190,0.116596,-37.6486
3.3130,-0.025339,-0.012980,0.115721,-37.6463
3.3290,-0.026206,-0.012907,0.114585,-37.5953
3.3440,-0.026572,-0.013106,0.113924,-37.5715
3.3750,-0.026853,-0.013194,0.113396,-37.5489
3.3910,-0.024378,-0.012751,0.117237,-37.5762
3.4070,-0.024389,-0.012723,0.117295,-37.5771
3.4380,-0.024897,-0.012629,0.116395,-37.5745
3.4540,-0.023448,-0.011160,0.117920,-37.6007
3.4690,-0.023389,-0.011419,0.118734,-37.6225
3.4850,-0.023197,-0.011279,0.118959,-37.6383
3.5160,-0.022849,-0.010932,0.119439,-37.6683
3.5320,-0.022728,-0.010770,0.119747,-37.6683
3.5470,-0.022210,-0.010293,0.119217,-37.6859
3.5630,-0.022125,-0.010185,0.119318,-37.7133
3.5940,-0.022958,-0.011705,0.119846,-37.6945
3.6100,-0.023084,-0.012748,0.119440,-37.6844
3.6250,-0.023018,-0.011340,0.119378,-37.7000
3.6410,-0.022951,-0.011246,0.119459,-37.7002
3.6720,-0.022799,-0.010887,0.119794,-37.7312
3.6880,-0.023362,-0.011997,0.119761,-37.7034
3.7040,-0.023333,-0.011531,0.120289,-37.7332
